job_id,technician,start_time,status,end_time
33,David,2025-03-08 05:44:28.499807,created,2025-03-08 09:44:28.499807
34,Alice,2025-03-02 07:44:28.499807,cancelled,2025-03-02 08:44:28.499807
35,Charlie,2025-03-02 04:44:28.499807,completed,2025-03-02 08:44:28.499807
36,Eve,2025-02-19 07:44:28.499807,cancelled,2025-02-19 10:44:28.499807
37,Charlie,2025-03-07 07:44:28.499807,synchronized,2025-03-07 08:44:28.499807
38,Eve,2025-02-17 05:44:28.499807,paused,2025-02-17 06:44:28.499807
39,Alice,2025-03-04 06:44:28.499807,completed,2025-03-04 10:44:28.499807
40,Bob,2025-02-26 06:44:28.499807,cancelled,2025-02-26 09:44:28.499807
41,David,2025-03-10 07:44:28.499807,synchronized,2025-03-10 08:44:28.499807
42,Alice,2025-02-28 04:44:28.499807,created,2025-02-28 08:44:28.499807
43,David,2025-02-25 06:44:28.499807,cancelled,2025-02-25 09:44:28.499807
44,Bob,2025-02-16 04:44:28.499807,synchronized,2025-02-16 08:44:28.499807
45,Bob,2025-03-13 06:44:28.499807,created,2025-03-13 08:44:28.499807
46,Alice,2025-02-15 04:44:28.499807,paused,2025-02-15 05:44:28.499807
47,Bob,2025-03-12 05:44:28.499807,cancelled,2025-03-12 07:44:28.499807
48,Eve,2025-02-22 04:44:28.499807,created,2025-02-22 07:44:28.499807
49,Bob,2025-03-10 05:44:28.499807,completed,2025-03-10 07:44:28.499807
50,David,2025-03-04 05:44:28.499807,paused,2025-03-04 07:44:28.499807
51,David,2025-03-02 04:44:28.499807,completed,2025-03-02 07:44:28.499807
52,David,2025-03-06 05:44:28.499807,scheduled,2025-03-06 09:44:28.499807
53,David,2025-02-16 07:44:28.499807,started,2025-02-16 09:44:28.499807
54,Eve,2025-03-13 05:44:28.499807,cancelled,2025-03-13 09:44:28.499807
55,Charlie,2025-03-04 06:44:28.499807,created,2025-03-04 08:44:28.499807
56,Alice,2025-03-10 04:44:28.499807,started,2025-03-10 08:44:28.499807
57,David,2025-02-18 07:44:28.499807,started,2025-02-18 10:44:28.499807
58,Bob,2025-02-26 04:44:28.499807,created,2025-02-26 06:44:28.499807
59,David,2025-02-23 06:44:28.499807,paused,2025-02-23 09:44:28.499807
60,Bob,2025-02-17 06:44:28.499807,cancelled,2025-02-17 08:44:28.499807
61,Bob,2025-03-15 06:44:28.499807,scheduled,2025-03-15 09:44:28.499807
62,David,2025-03-07 05:44:28.499807,completed,2025-03-07 08:44:28.499807
63,Eve,2025-03-04 05:44:28.499807,synchronized,2025-03-04 07:44:28.499807
64,Bob,2025-02-15 04:44:28.499807,completed,2025-02-15 06:44:28.499807
65,Bob,2025-02-20 04:44:28.499807,synchronized,2025-02-20 06:44:28.499807
66,David,2025-02-24 07:44:28.499807,completed,2025-02-24 08:44:28.499807
67,Bob,2025-03-11 07:44:28.499807,created,2025-03-11 11:44:28.499807
68,Bob,2025-02-17 04:44:28.499807,scheduled,2025-02-17 05:44:28.499807
69,David,2025-02-17 05:44:28.499807,cancelled,2025-02-17 06:44:28.499807
70,David,2025-03-05 06:44:28.499807,synchronized,2025-03-05 09:44:28.499807
71,Alice,2025-03-05 04:44:28.499807,cancelled,2025-03-05 06:44:28.499807
72,Eve,2025-02-25 07:44:28.499807,cancelled,2025-02-25 11:44:28.499807
73,Eve,2025-02-15 05:44:28.499807,cancelled,2025-02-15 08:44:28.499807
74,Bob,2025-02-15 04:44:28.499807,validated,2025-02-15 05:44:28.499807
75,Eve,2025-03-06 04:44:28.499807,paused,2025-03-06 06:44:28.499807
76,Bob,2025-02-19 05:44:28.499807,completed,2025-02-19 08:44:28.499807
77,Alice,2025-02-22 04:44:28.499807,cancelled,2025-02-22 06:44:28.499807
78,David,2025-02-17 05:44:28.499807,completed,2025-02-17 08:44:28.499807
79,David,2025-02-20 06:44:28.499807,cancelled,2025-02-20 08:44:28.499807
80,David,2025-03-10 05:44:28.499807,synchronized,2025-03-10 06:44:28.499807
81,Eve,2025-02-15 05:44:28.499807,paused,2025-02-15 09:44:28.499807
82,Alice,2025-03-16 05:44:28.499807,paused,2025-03-16 06:44:28.499807
83,Eve,2025-03-16 04:44:28.499807,created,2025-03-16 08:44:28.499807
84,Eve,2025-02-20 04:44:28.499807,validated,2025-02-20 06:44:28.499807
85,Alice,2025-02-18 05:44:28.499807,created,2025-02-18 08:44:28.499807
86,Alice,2025-02-15 04:44:28.499807,created,2025-02-15 05:44:28.499807
87,Alice,2025-02-20 07:44:28.499807,created,2025-02-20 11:44:28.499807
88,Alice,2025-02-25 07:44:28.499807,created,2025-02-25 08:44:28.499807
89,David,2025-03-04 04:44:28.499807,created,2025-03-04 08:44:28.499807
90,Charlie,2025-03-08 04:44:28.499807,scheduled,2025-03-08 05:44:28.499807
91,Charlie,2025-03-14 05:44:28.499807,paused,2025-03-14 09:44:28.499807
92,Alice,2025-03-10 06:44:28.499807,created,2025-03-10 10:44:28.499807
93,Charlie,2025-03-11 04:44:28.499807,cancelled,2025-03-11 06:44:28.499807
94,Charlie,2025-03-09 07:44:28.499807,paused,2025-03-09 11:44:28.499807
95,Alice,2025-02-18 05:44:28.499807,paused,2025-02-18 07:44:28.499807
96,Charlie,2025-03-08 04:44:28.499807,started,2025-03-08 08:44:28.499807
97,Eve,2025-02-15 07:44:28.499807,scheduled,2025-02-15 10:44:28.499807
98,Bob,2025-03-12 07:44:28.499807,created,2025-03-12 10:44:28.499807
99,Bob,2025-03-16 06:44:28.499807,completed,2025-03-16 09:44:28.499807
100,Alice,2025-02-26 05:44:28.499807,synchronized,2025-02-26 09:44:28.499807
